date,rawContent,processed_content,tokenized_content
2023-03-06 15:11:22+00:00,"A tie between s3 and s4. Our Queen and saviour Daenerys conquering The Slaver’s Bay, Lannisters family drama, Tyrell’s cunning schemes, Overton being amazing. 
GOT was great back then",tie s3 s4 queen saviour daeneri conquer slaver bay lannist famili drama tyrel cun scheme overton amaz got great back,"['tie', 's3', 's4', 'queen', 'saviour', 'daeneri', 'conquer', 'slaver', 'bay', 'lannist', 'famili', 'drama', 'tyrel', 'cun', 'scheme', 'overton', 'amaz', 'got', 'great', 'back']"
2023-03-06 15:01:43+00:00,nenhuma,nenhuma,['nenhuma']
2023-03-06 15:01:32+00:00,Season 1-4. Some episodes on season 7. Idk man it's still hurts the way it went downhill,season 14 episod season 7 idk man still hurt way went downhil,"['season', '14', 'episod', 'season', '7', 'idk', 'man', 'still', 'hurt', 'way', 'went', 'downhil']"
2023-03-06 14:56:11+00:00,todas,toda,['toda']
2023-03-06 14:52:02+00:00,Toss up between 3 and 4 for me,toss 3 4,"['toss', '3', '4']"
2023-03-06 14:40:17+00:00,S6 E 9&amp;10,s6 e 9amp10,"['s6', 'e', '9amp10']"
2023-03-06 14:36:56+00:00,"Season 1 , 2 &amp;&amp; 6",season 1 2 ampamp 6,"['season', '1', '2', 'ampamp', '6']"
2023-03-06 14:36:18+00:00,Season 6,season 6,"['season', '6']"
2023-03-06 14:35:55+00:00,6,6,['6']
2023-03-06 14:35:48+00:00,s4 es simplemente la. temporada,s4 es simplement la temporada,"['s4', 'es', 'simplement', 'la', 'temporada']"
2023-03-06 14:32:49+00:00,im gonna say it... i liked season 7!!!!!!!! id rewatch!!!!,im gon na say like season 7 id rewatch,"['im', 'gon', 'na', 'say', 'like', 'season', '7', 'id', 'rewatch']"
2023-03-06 14:24:22+00:00,SIX!,six,['six']
2023-03-06 14:18:38+00:00,4 although 2 is my favorite season,4 although 2 favorit season,"['4', 'although', '2', 'favorit', 'season']"
2023-03-06 14:17:16+00:00,"Never rewatched GoT &amp; don’t plan to any time soon, but seasons 1-6 still generational for sure",never rewatch got amp dont plan time soon season 16 still gener sure,"['never', 'rewatch', 'got', 'amp', 'dont', 'plan', 'time', 'soon', 'season', '16', 'still', 'gener', 'sure']"
2023-03-06 14:08:40+00:00,s4 was sooo good wow amazing.,s4 sooo good wow amaz,"['s4', 'sooo', 'good', 'wow', 'amaz']"
2023-03-06 14:08:23+00:00,BRB going to rewatch them all for the ten millionth time 🫣,brb go rewatch ten millionth time,"['brb', 'go', 'rewatch', 'ten', 'millionth', 'time']"
2023-03-06 14:03:41+00:00,Season 4. Tyrions trial arc &gt;&gt;&gt;,season 4 tyrion trial arc gtgtgt,"['season', '4', 'tyrion', 'trial', 'arc', 'gtgtgt']"
2023-03-06 13:54:20+00:00,"Season 1 is good for those who like me, couldn't get into the show past Season 1!
Season 6 was great to revisit, too! 

ALTHOUGH Season 4 holds up the strongest out of all of the seasons",season 1 good like couldnt get show past season 1 season 6 great revisit although season 4 hold strongest season,"['season', '1', 'good', 'like', 'couldnt', 'get', 'show', 'past', 'season', '1', 'season', '6', 'great', 'revisit', 'although', 'season', '4', 'hold', 'strongest', 'season']"
2023-03-06 13:49:35+00:00,4,4,['4']
2023-03-06 13:45:30+00:00,la temporada 6 es arte puro y quien diga lo contrario es gilipollas,la temporada 6 es art puro quien diga lo contrario es gilipolla,"['la', 'temporada', '6', 'es', 'art', 'puro', 'quien', 'diga', 'lo', 'contrario', 'es', 'gilipolla']"
